surveyid,county,region,role,acres,acresha,ccacres,ccacresha,ccarea,covercrop,crop,plantingcctime,howccplanting,ccspecies,ccterminationtime,howtermiantion,majorchange,challenge,improveweedc,weedspcontrol,herbicidecc,soilresidual
1,Lancaster,Southeast,Grower,1250,505.8575,550,222.5773,44,Yes,field corn,after harvest,drill,cereal rye,1 week,herbicides,timely termination,,yes,,"glyphosate & 2,4-d",cc termination
2,Saunders,Southeast,Grower,1200,485.6232,80,32.37488,6.7,Yes,field corn,after harvest,drill,mix,,,,,,,,
3,Madison - Stanton,northeast,Grower,320,129.49952,220,89.03092,68.8,Yes,field corn,after harvest,drill,cereal rye,1 week,herbicides,,,,,glyphosate ,
4,Saunders,Southeast,Grower,2500,1011.715,100,40.4686,4,Yes,field corn,after harvest,drill,mix,2 weeks,herbicides,,,no,,"glyphosate & 2,4-d",both
5,Cedar,northeast,Grower,700,283.2802,625,252.92875,89.3,Yes,field corn,after harvest,drill,mix,2 weeks,herbicides,crop establishment,planting cc & terminating cc,yes,winter & earlysum,"glyphosate & 2,4-d",both
6,Colfax,northeast,Grower,2000,809.372,600,242.8116,30,Yes,field corn,after harvest,drill,mix,at planting,herbicides,erosion control,planting cc & terminating cc,yes,winter & earlysum,"glyphosate & 2,4-d",cc termination
7,Saunders,Southeast,Grower,900,364.2174,450,182.1087,50,Yes,field corn,after harvest,drill,cereal rye,,herbicides,erosion control,terminating cc,,,glyphosate & glufosinate,both
8,Platte,northeast,Grower,615,248.88189,335,135.56981,54.5,Yes,field corn,after harvest,drill,mix,2 weeks,herbicides,weed suppression,terminating cc,yes,,"glyphosate & 2,4-d",
9,nance,northeast,Grower,1000,404.686,300,121.4058,30,Yes,field corn,prior to harvest,aerial seeding,cereal rye,2 weeks,herbicides,erosion control soil tilth,,no,,glyphosate,cc termination
10,Lancaster,Southeast,Consultant,5000,2023.43,800,323.7488,16,Yes,field corn,after harvest,drill,mix,,,,,yes,summer,glyphosate & glufosinate,
11,Saline,Southeast,Grower,1000,404.686,150,60.7029,15,Yes,field corn,after harvest,drill,cereal rye,,,,,,,,
12,,,Grower,700,283.2802,500,202.343,71.4,Yes,field corn,prior to harvest,aerial seeding,,,,,,,,,
13,Saunders,Southeast,,450,182.1087,65,26.30459,14.4,Yes,field corn,after harvest,drill,cereal rye,,,,terminating cc,yes,,glyphosate,both
14,Colfax - Dodge - Saunders,,Grower,3100,1254.5266,400,161.8744,12.9,Yes,field corn,prior to harvest,interseed,clover,,,,terminating cc,,,,
15,Butler,Southeast,Grower,250,101.1715,130,52.60918,52,Yes,field corn,after harvest,drill,cereal rye,,herbicides,less chemicals ,terminating cc,yes,winter earlysum & summer,glyphosate,crop planting
16,Madison,northeast,Consultant,4500,1821.087,700,283.2802,15.6,Yes,field corn,after harvest,drill,cereal rye,,herbicides,,,yes,winter & earlysum,glyphosate,cc termination
17,York,Southeast,Grower,500,202.343,270,109.26522,54,Yes,field corn,after harvest,drill,cereal rye,2 weeks,non-herbicides,erosion control & weed suppression,terminating cc,yes,,glyphosate,both
18,Polk,,Grower,600,242.8116,450,182.1087,75,Yes,field corn,after harvest,drill,cereal rye,,herbicides,,,,,"glyphosate & 2,4-d",
