surveyid,county,region,role,acresha,variable,value
1,Lancaster,Southeast,Grower,505.8575,ha,222.5773
2,Saunders,Southeast,Grower,485.6232,ha,32.37488
3,Madison - Stanton,northeast,Grower,129.49952,ha,89.03092
4,Saunders,Southeast,Grower,1011.715,ha,40.4686
5,Cedar,northeast,Grower,283.2802,ha,252.92875
6,Colfax,northeast,Grower,809.372,ha,242.8116
7,Saunders,Southeast,Grower,364.2174,ha,182.1087
8,Platte,northeast,Grower,248.88189,ha,135.56981
9,nance,northeast,Grower,404.686,ha,121.4058
10,Lancaster,Southeast,Consultant,2023.43,ha,323.7488
11,Saline,Southeast,Grower,404.686,ha,60.7029
12,,,Grower,283.2802,ha,202.343
13,Saunders,Southeast,,182.1087,ha,26.30459
14,Colfax - Dodge - Saunders,,Grower,1254.5266,ha,161.8744
15,Butler,Southeast,Grower,101.1715,ha,52.60918
16,Madison,northeast,Consultant,1821.087,ha,283.2802
17,York,Southeast,Grower,202.343,ha,109.26522
18,Polk,,Grower,242.8116,ha,182.1087
19,Nance,northeast,Agronomist,40468.6,ha,6070.29
20,Polk,Southeast,Grower,1052.1836,ha,566.5604
21,nance,northeast,Grower,607.029,ha,40.4686
22,Nemaha,,,647.4976,ha,145.68696
23,Nemaha,,Grower,1618.744,ha,404.686
24,Otoe ,Southeast,Grower,364.2174,ha,141.6401
25,Madison,northeast,Grower,161.8744,ha,161.8744
26,Stanton,northeast,Grower,202.343,ha,8.09372
27,Lancaster,Southeast,Grower,809.372,ha,56.65604
28,Butler - Polk,Southeast,Grower,8093.72,ha,809.372
29,Saunders,,Grower,129.49952,ha,32.37488
30,Cass,Southeast,Grower,647.4976,ha,182.1087
31,Colfax,northeast,Grower,323.7488,ha,80.9372
32,Colfax,northeast,Grower,728.4348,ha,121.4058
33,Saunders,Southeast,Grower,607.029,ha,202.343
34,Cass,Southeast,Grower,566.5604,ha,323.7488
35,Merrick,northeast,Grower,2023.43,ha,607.029
36,Clay,Southeast,Grower,3844.517,ha,1011.715
37,Chase,,Consultant,12140.58,ha,3035.145
38,Saunders,Southeast,Grower,728.4348,ha,52.60918
39,Butler,Southeast,Grower,1173.5894,ha,121.4058
40,Saunders,Southeast,Grower,1052.1836,ha,137.59324
41,Colfax,northeast,Grower,404.686,ha,202.343
42,Kearney,West Central,Consultant,3237.488,ha,242.8116
43,Saunders,Southeast,Grower,0,ha,242.8116
44,Butler,Southeast,Grower,607.029,ha,84.98406
45,Merrick,northeast,Grower,607.029,ha,80.9372
46,Saunders,Southeast,Grower,546.3261,ha,80.9372
47,Clay,Southeast,Other ,,ha,
48,Butler,Southeast,Grower,80.9372,ha,80.9372
49,Dodge,Southeast,Grower,445.1546,ha,28.32802
50,Merrick,Southeast,Grower,485.6232,ha,64.74976
51,Hamilton,Southeast,Grower,,ha,
52,Washington,Southeast,Grower,263.0459,ha,32.37488
53,Butler,Southeast,Grower,607.029,ha,404.686
54,Butler,Southeast,Grower,728.4348,ha,485.6232
55,nance,northeast,Grower,343.9831,ha,68.79662
56,Butler,Southeast,Grower,2023.43,ha,930.7778
57,Seward,Southeast,Grower,161.8744,ha,64.74976
58,Cass,Southeast,Grower,404.686,ha,40.4686
59,Washington,Southeast,Grower,485.6232,ha,40.4686
60,Butler,Southeast,Grower,56.65604,ha,20.2343
61,Dodge,Southeast,Grower,437.06088,ha,137.59324
62,Sherman,northeast,Grower,121.4058,ha,30.35145
63,Cuming,northeast,Consultant,40468.6,ha,1011.715
64,Douglas,na,Grower,1537.8068,ha,445.1546
65,Boyd,,Consultant,2023.43,ha,607.029
66,Seward,Southeast,Grower,728.4348,ha,323.7488
67,Seward,Southeast,Industry,32.37488,ha,4.856232
68,Lancaster,Southeast,Grower,242.8116,ha,40.4686
69,Richardson,,Grower,687.9662,ha,687.9662
70,Sarpy,Southeast,Other,323.7488,ha,64.74976
71,Cass,Southeast,Grower,,ha,
72,Adams,Southeast,Other,,ha,
73,Dodge,Southeast,Grower,,ha,
74,Saunders,Southeast,Grower,,ha,
75,Saunders,Southeast,Grower,,ha,
76,Seward,Southeast,Grower,,ha,
77,Bulter,Southeast,Grower,1416.401,ha,283.2802
78,Saunders,Southeast,Grower,182.1087,ha,60.7029
